teacher_id,classroom_id,classroom_subj_grade
59ca7a664a5ae6404d755cac,6151e35feb1d764165023b81,Math 7 (grade-7)
59ca7a664a5ae6404d755cac,63042a4ed2c57f4111087a2e,Math 6 (grade-6)
59ca7a664a5ae6404d755cac,64ffa19e8b9e7f4029799c20,5th HR Math 7 (grade-7)
59ca7a664a5ae6404d755cac,61f0438823a309430149b8e6,Inside Alg (grade-9)
59ca7a664a5ae6404d755cac,631fb339c1bbd540f1ee46f1,Math 6 (grade-7)
59ca7a664a5ae6404d755cac,631fb3e5b8273440f0ec2bfa,Math 6 (grade-6)
59ca7a664a5ae6404d755cac,63d4168454043e414b05b722,MS Algebra 1 (grade-8)
59ca7a664a5ae6404d755cac,64ffa19e0c65bc3fdf322240,4th HR Math 8 (grade-8)
59ca7a664a5ae6404d755cac,64ffa19e21778e3fcaf30659,3rd HR Math 7 (grade-7)
59ca7a664a5ae6404d755cac,64ffa19e8d93f74016047d0d,2nd HR: Intro to Algebra (grade-9)
59ca7a664a5ae6404d755cac,64ffa19efa19023fd68f1818,4C Math (grade-8)
59ca7a664a5ae6404d755cac,6151e35fc3a6d2416ddf3e46,Math 8 (grade-8)
59ca7a664a5ae6404d755cac,64ffa19e850e134030f5cc78,1st HR: Intro to Algebra (grade-9)
